HOI ID	Anchor Group	HOI Verb
185	27	no_interaction
186	27	board
188	27	exit
189	27	load
191	27	sit_on
193	27	no_interaction
197	27	no_interaction
207	27	no_interaction
213	27	no_interaction
223	27	no_interaction
231	27	no_interaction
234	27	no_interaction
238	27	no_interaction
240	27	lie_on
241	27	sit_on
242	27	no_interaction
244	27	lie_on
245	27	sit_on
246	27	no_interaction
251	27	no_interaction
256	27	no_interaction
263	27	no_interaction
272	27	no_interaction
282	27	no_interaction
289	27	no_interaction
294	27	no_interaction
304	27	no_interaction
312	27	no_interaction
324	27	no_interaction
329	27	no_interaction
335	27	no_interaction
341	27	no_interaction
347	27	no_interaction
351	27	no_interaction
355	27	no_interaction
362	27	no_interaction
367	27	no_interaction
375	27	no_interaction
382	27	no_interaction
388	27	no_interaction
392	27	no_interaction
396	27	no_interaction
406	27	no_interaction
413	27	no_interaction
417	27	no_interaction
428	27	no_interaction
433	27	no_interaction
437	27	no_interaction
444	27	no_interaction
448	27	no_interaction
452	27	no_interaction
460	27	sit_on
462	27	no_interaction
473	27	no_interaction
482	27	no_interaction
487	27	no_interaction
501	27	no_interaction
505	27	no_interaction
510	27	load
515	27	no_interaction
521	27	lie_on
522	27	load
525	27	sit_on
527	27	no_interaction
532	27	no_interaction
537	27	no_interaction
545	27	no_interaction
549	27	no_interaction
554	27	sit_on
557	27	no_interaction
561	27	no_interaction
566	27	no_interaction
570	27	load
573	27	sit_on
575	27	no_interaction
583	27	no_interaction
587	27	no_interaction
594	27	no_interaction
599	27	no_interaction
27	28	pet
76	28	dry
79	28	hug
81	28	pet
82	28	scratch
99	28	hug
103	28	pet
112	28	dry
114	28	groom
117	28	hug
120	28	pet
122	28	scratch
130	28	groom
132	28	hug
137	28	pet
161	28	greet
163	28	hug
178	28	hug
180	28	pet
182	28	shear
316	28	hug
319	28	pet
325	28	hug
344	28	pet
509	28	hug
530	28	hug
597	28	pet
14	29	hop_on
16	29	push
21	29	walk
105	29	walk
125	29	walk
136	29	hop_on
143	29	walk
149	29	hop_on
151	29	push
157	29	walk
183	29	walk
318	29	hop_on
321	29	walk
1	30	direct
15	30	park
32	30	drive
55	30	direct
56	30	drive
66	30	direct
67	30	drive
72	30	park
150	30	park
187	30	drive
567	30	direct
568	30	drive
3	31	fly
36	31	launch
43	31	tie
212	31	wear
233	31	wear
370	31	fly
373	31	launch
374	31	pull
463	31	adjust
472	31	wear
474	31	adjust
481	31	wear
538	31	adjust
542	31	pull
543	31	tie
544	31	wear
